kingdom,phylum,class,subclass,infraclass,subterclass,order,superfamily,family,genus,species,temporary ID
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Calliopioidea,Pontogeneiidae,Pontogeneia,Pontogeneia rostrata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Hyaloidea,Hyalidae,Protohyale,NA,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Spionida,NA,Spionidae,Pseudopolydora,Pseudopolydora kempi,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Spionida,NA,Spionidae,Pseudopolydora,Pseudopolydora paucibranchiata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Majoidea,Epialtidae,Pugettia,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Majoidea,Epialtidae,Pugettia,Pugettia producta,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Majoidea,Epialtidae,Pugettia,Pugettia richii,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Spionida,NA,Spionidae,Scolelepis,NA,NA
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,NA,NA,NA,Capitellidae,Scyphoproctus,Scyphoproctus oculatus,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Syllidae,Sphaerosyllis,Sphaerosyllis bilineata,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Syllidae,NA,NA,NA
